code,name,description,material,size,fragm,cultlayer,execorg,survyear,image_file,match_rule,has_image,group_key,material_raw,type,type_is_missing,part,part_is_missing,integrity,integrity_is_missing,material_is_missing,label_is_uncertain
БП11-Р01-тех-0061,Изразец,Изразца светлоглиняного орнаментированного с белой поливой и полихромной росписью фр-т,керамика,"11,5+х7,8+х 5 см",Фрагмент,Горизонт техноген/ внутри дома,,,data/raw/images/БП11-Р01-тех-0061_orig.jpg,startswith,1,БП11-Р01-тех-0061,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
БП11-Р01-Г03-3244,Тарелка,Тарелки красноглиняной со светло-желтой и коричневой поливой внутри и полихромной росписью поливой края фр-т,керамика,Д28 см,Фрагмент,Горизонт 3/ темно-коричневый гумусированный суглинок с включениями кирпичной крошки,,,data/raw/images/БП11-Р01-Г03-3244_orig.jpg,startswith,1,БП11-Р01-Г03-3244,Керамика,тарелка,0,часть не указана,1,фрагмент,0,0,0
БП11-Р01-тех-0443,Изразец,Изразца красноглиняного орнаментированного с белой поливой и желтой росписью фр-т,керамика,,Фрагмент,Горизонт техноген,,,data/raw/images/БП11-Р01-тех-0443_orig.jpg,startswith,1,БП11-Р01-тех-0443,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
БП11-Р01-Г01-1055,Изразец,Изразец (карниз) красноглиняный с белой поливой фрагментированный,керамика,"17х11,5+х6 см",Целый,Горизонт 1,,,data/raw/images/БП11-Р01-Г01-1055_orig.jpg,startswith,1,БП11-Р01-Г01-1055,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
БП11-Р01-тех-0060,Изразец,Изразца (карниз) красноглиняного с белой поливой фр-т,керамика,"16,8+х12х8,3 см",Фрагмент,Горизонт техноген/ внутри дома,,,data/raw/images/БП11-Р01-тех-0060_orig.jpg,startswith,1,БП11-Р01-тех-0060,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
БП11-Р01-Г01-1289,Тарелка,Тарелки фаянсовой с красной росписью профиль,фаянс,Д15-12 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,data/raw/images/БП11-Р01-Г01-1289_orig.jpg,startswith,1,БП11-Р01-Г01-1289,Фаянс,тарелка,0,профиль,0,фрагмент,0,0,0
БП11-Р01-Г03-6483,Блюдце,Блюдца фарфорового с кобальтовой росписью профиля фр-т,фарфор,"Д13,5 см",Фрагмент,Горизонт 3/ щепа + гумус,,,data/raw/images/БП11-Р01-Г03-6483_orig.jpg,startswith,1,БП11-Р01-Г03-6483,Фарфор,блюдце,0,профиль,0,фрагмент,0,0,0
Кроп-2013-152,Тарелка,Тарелки фарфоровой с полихромным рельефным пейзажным орнаментом внутри донца фр-т,фарфор,Д=16 см,Фрагмент,,,2013.0,data/raw/images/Кроп-2013-152_orig.jpg,startswith,1,Кроп-2013-152,Фарфор,тарелка,0,донце,0,фрагмент,0,0,0
Кроп-2013-155,Блюдце,Сосуда (блюдца ?) фарфорового с растительным полихромным орнаментом внутри венчика фр-т,фарфор,Д=15 см,Фрагмент,,,2013.0,data/raw/images/Кроп-2013-155_orig.jpg,startswith,1,Кроп-2013-155,Фарфор,блюдце,0,венчик,0,фрагмент,0,0,1
Кроп-2013-158,Блюдце,Блюдца фарфорового с геометрическим орнаментом внутри и клейменым донцем профиля фр-т,фарфор,Двен=14; Ддон=8 см,Фрагмент,,,2013.0,data/raw/images/Кроп-2013-158_orig.jpg,startswith,1,Кроп-2013-158,Фарфор,блюдце,0,донце,0,фрагмент,0,0,0
Кроп-2013-203,Миска,Миски светлоглиняной с коричневой поливой внутри и снаружи профиля фр-т,керамика,Двен=34; Ддон=22 см,Фрагмент,,,2013.0,data/raw/images/Кроп-2013-203_orig.jpg,startswith,1,Кроп-2013-203,Керамика,миска,0,профиль,0,фрагмент,0,0,0
Кроп-2013-268,Тарелка,Тарелки фарфоровой донца клейменого фр-т,фарфор,Д=12 см,Фрагмент,,,2013.0,data/raw/images/Кроп-2013-268_orig.jpg,startswith,1,Кроп-2013-268,Фарфор,тарелка,0,донце,0,фрагмент,0,0,0
Кроп-2013-399,Тарелка,Тарелки фарфоровой с геометрическим полихромным орнаментом внутри профиля фр-т,фарфор,Двен=10; Ддон=8; выс=2 см,Фрагмент,,,2013.0,data/raw/images/Кроп-2013-399_orig.jpg,startswith,1,Кроп-2013-399,Фарфор,тарелка,0,профиль,0,фрагмент,0,0,0
Кроп-2013-401,Тарелка,Тарелки фарфоровой с растительным полихромным орнаментом внутри донца клейменого фр-т,фарфор,Д=8 см,Фрагмент,,,2013.0,data/raw/images/Кроп-2013-401_orig.jpg,startswith,1,Кроп-2013-401,Фарфор,тарелка,0,донце,0,фрагмент,0,0,0
Кроп-2013-478,Блюдце,Блюдце фарфоровое с линейным золотым орнаментом внутри и клеймом на донце фрагментированное,фарфор,Двен=15; Ддон=7; выс=3 см,Фрагмент,,,2013.0,data/raw/images/Кроп-2013-478_orig.jpg,startswith,1,Кроп-2013-478,Фарфор,блюдце,0,донце,0,фрагмент,0,0,0
Кроп-2013-Тр1-023,Плитка,"Плитка керамическая с белой поливой и зеленым подглазурным растительно-геометрическим орнаментом, клейменая",керамика,"14,8 х 7,5 х 1 см",Целый,,,2013.0,data/raw/images/Кроп-2013-Тр1-023_orig.jpg,startswith,1,Кроп-2013-Тр1-023,Керамика,прочее,1,часть не указана,1,целый,0,0,0
Кроп-2013-Тр2-032,Изразец,Изразца красноглиняного углового плоского с белой поливой фр-т,керамика,"8,5+ х 11,5 х 2; рум=4 см",Фрагмент,,,2013.0,data/raw/images/Кроп-2013-Тр2-032_orig.jpg,startswith,1,Кроп-2013-Тр2-032,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Кроп-2013-Тр2-045,Тарелка,Тарелки фаянсовой с белой поливой внутри и снаружи с голубым меандром по краю венчика фр-т,фаянс,Д=21 см,Фрагмент,,,2013.0,data/raw/images/Кроп-2013-Тр2-045_orig.jpg,startswith,1,Кроп-2013-Тр2-045,Фаянс,тарелка,0,венчик,0,фрагмент,0,0,0
Нев11-Г02-009,Тарелка,Тарелки белоглиняной с изумрудной поливой и орнаментом венчика фр-т,керамика,Д16 см,Фрагмент,Гориз.2,,2011.0,data/raw/images/Нев11-Г02-009_orig.jpg,startswith,1,Нев11-Г02-009,Керамика,тарелка,0,венчик,0,фрагмент,0,0,0
Нев11-Г02-010,Тарелка,Тарелки белоглиняной с изумрудной поливой донца фр-т,керамика,,Фрагмент,Гориз.2,,2011.0,data/raw/images/Нев11-Г02-010_orig.jpg,startswith,1,Нев11-Г02-010,Белоглиняная керамика,тарелка,0,донце,0,фрагмент,0,0,0
Нев11-Г02-023,Изразец,Изразца плоского красноглиняного с белой поливой фр-т,керамика,"25,8+ х 10,5 х5,8 см",Фрагмент,Гориз.2,,2011.0,data/raw/images/Нев11-Г02-023_orig.jpg,startswith,1,Нев11-Г02-023,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нев11-Г03-037,Изразец,Изразца рельефного красноглиняного с белой поливой и коричневой росписью фр-т,керамика,"высота 5,5+ см",Фрагмент,Гориз.3,,2011.0,data/raw/images/Нев11-Г03-037_orig.jpg,startswith,1,Нев11-Г03-037,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нев11-Г03-043,Изразец,Изразца красноглиняного румпы фр-т,керамика,,Фрагмент,Гориз.3,,2011.0,data/raw/images/Нев11-Г03-043_orig.jpg,startswith,1,Нев11-Г03-043,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нев11-Г03-058,Изразец,Изразца плоского красноглиняного с белой поливой фр-т,керамика,"12+ х 10,9 х 3,7+ см",Фрагмент,Гориз.3,,2011.0,data/raw/images/Нев11-Г03-058_orig.jpg,startswith,1,Нев11-Г03-058,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нев11-Г03-181,Изразец,Изразца красноглиняного с белой (потемневшей) поливой фр-ты,керамика,,Фрагмент,Гориз.3,,2011.0,data/raw/images/Нев11-Г03-181_orig.jpg,startswith,1,Нев11-Г03-181,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нев11-Г04А-210,Тарелка,Тарелки красноглиняной с серебристой поливой и росписью края фр-т,керамика,Д28 см,Фрагмент,Гориз.4А,,2011.0,data/raw/images/Нев11-Г04А-210_orig.jpg,startswith,1,Нев11-Г04А-210,Керамика,тарелка,0,часть не указана,1,фрагмент,0,0,0
Нев11-Г05-228,Тарелка,Тарелки фаянсовой края фр-ты,фаянс,,Фрагмент,Гориз.5,,2011.0,data/raw/images/Нев11-Г05-228_orig.jpg,startswith,1,Нев11-Г05-228,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,0
БП12-Г01-0767,Крышка,Сосуда фарфорового крышка,фарфор,Д7 см,Целый,Горизонт 1/ Темная гумусированная супесь с включением щепы и кирпичной крошки,,,data/raw/images/БП12-Г01-0767_orig.jpg,startswith,1,БП12-Г01-0767,Фарфор,крышка,0,часть не указана,1,целый,0,0,0
БП12-Г01-0794,Блюдце,Блюдца фаянсового с полихромной росписью и клеймом профиль,фаянс,Д15-9; высота 3 см,Фрагмент,Горизонт 1/ Темная гумусированная супесь с включением щепы и кирпичной крошки,,,data/raw/images/БП12-Г01-0794_orig.jpg,startswith,1,БП12-Г01-0794,Фаянс,блюдце,0,профиль,0,фрагмент,0,0,0
БП12-Г01-1017,Крышка,Сосуда фаянсового крышки с кобальтовой росписью края фр-т,фаянс,Д8-6 см,Фрагмент,Горизонт 1/ темная гумусированная супесь,,,data/raw/images/БП12-Г01-1017_orig.jpg,startswith,1,БП12-Г01-1017,Фаянс,крышка,0,часть не указана,1,фрагмент,0,0,0
БП12-Г01-1036,Крышка,Сосуда красноглиняного крышка со следами коричневой поливы внутри и снаружи фрагментированная,керамика,Д13 см,Фрагмент,Горизонт 1/ Темная гумусированная супесь с включением кирпичной крошки,,,data/raw/images/БП12-Г01-1036_orig.jpg,startswith,1,БП12-Г01-1036,Красноглиняная керамика,крышка,0,часть не указана,1,фрагмент,0,0,0
БП12-Г01-1697,Блюдце,Блюдца фаянсового с кобальтовой росписью донца фр-т,фаянс,"Д5,5 см",Фрагмент,Горизонт 1/ темный гумусированный суглинок с кирпичной крошкой,,,data/raw/images/БП12-Г01-1697_orig.jpg,startswith,1,БП12-Г01-1697,Фаянс,блюдце,0,донце,0,фрагмент,0,0,0
БП12-Г01-1985,Тарелка,Тарелки фаянсовой с клеймом профиль,фаянс,Д 27-15 см,Фрагмент,Горизонт 1/ Темный гумусированый суглинок с включением кирпичной крошки,,,data/raw/images/БП12-Г01-1985_orig.jpg,startswith,1,БП12-Г01-1985,Фаянс,тарелка,0,профиль,0,фрагмент,0,0,0
БП12-Г01-3462,Блюдце,Блюдца фаянсового с росписью профиль,фаянс,Д17-10 см,Фрагмент,Горизонт 1/ Темный гумусированный суглинок с кирпичной крошкой,,,data/raw/images/БП12-Г01-3462_orig.jpg,startswith,1,БП12-Г01-3462,Фаянс,блюдце,0,профиль,0,фрагмент,0,0,0
БП12-Г01-4903,Блюдце,Блюдца фаянсового с черной росписью донца фр-т,фаянс,Д12 см,Фрагмент,Горизонт 1/ серый суглинок со щепой,,,data/raw/images/БП12-Г01-4903_orig.jpg,startswith,1,БП12-Г01-4903,Фаянс,блюдце,0,донце,0,фрагмент,0,0,0
БП12-Г01-5688,Тарелка,Тарелки фаянсовой с полихромной росписью и рельефным краем,фаянс,"Д22-13; высота 3,5 см",Фрагмент,"Горизонт 1/ черная супесь, щепа, кирпичи",,,data/raw/images/БП12-Г01-5688_orig.jpg,startswith,1,БП12-Г01-5688,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,0
БП12-Г01-6560,Крышка,Сосуда фаянсового с желтой и темно-коричневой поливой снаружи и желтой внутри крышки фр-т,фаянс,Д12 см,Фрагмент,Горизонт 1/ гумусированный суглинок с кирпичной крошкой,,,data/raw/images/БП12-Г01-6560_orig.jpg,startswith,1,БП12-Г01-6560,Фаянс,крышка,0,часть не указана,1,фрагмент,0,0,0
БП12-Г01-7209,Изразец,Изразца красноглиняного орнаментированного с белой поливой фр-т,керамика,,Фрагмент,Горизонт 1/ гумусированный суглинок с кирпичной крошкой,,,data/raw/images/БП12-Г01-7209_orig.jpg,startswith,1,БП12-Г01-7209,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
БП12-Г01-7274,Крышка,Бочонка деревянного крышки со сквозным отверстием фр-т,прочее,"Д15,5 см",Фрагмент,Горизонт 1/ гумусированный суглинок с кирпичной крошкой,,,data/raw/images/БП12-Г01-7274_orig.jpg,startswith,1,БП12-Г01-7274,Дерево,крышка,0,часть не указана,1,фрагмент,0,1,0
БП12-Г01-7738,Тарелка,Тарелки красноглиняной с белым ангобом внутри и следами зеленой поливы внутри и снаружи профиль,керамика,Д35-22 см,Фрагмент,Горизонт 1/ серая мешаная гумусированная супесь,,,data/raw/images/БП12-Г01-7738_orig.jpg,startswith,1,БП12-Г01-7738,Красноглиняная керамика,тарелка,0,профиль,0,фрагмент,0,0,0
БП12-Г01-7742,Крышка,Сосуда красноглиняного крышки с ручкой фр-т,керамика,Д5 см,Фрагмент,Горизонт 1/ серая мешаная гумусированная супесь,,,data/raw/images/БП12-Г01-7742_orig.jpg,startswith,1,БП12-Г01-7742,Красноглиняная керамика,крышка,0,ручка,0,фрагмент,0,0,0
БП12-Г01-7762,Тарелка,Тарелка фаянсовая фрагментированная,фаянс,"Д25,5-16 см",Фрагмент,Горизонт 1/ серая мешаная гумусированная супесь,,,data/raw/images/БП12-Г01-7762_orig.jpg,startswith,1,БП12-Г01-7762,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,0
БП12-Г02-3807,Тарелка,Тарелки красноглиняной с белым ангобом снаружи и коричневой и зеленой поливой внутри края фр-т,керамика,Д33 см,Фрагмент,Горизонт 2/ Темная гумусированная супесь,,,data/raw/images/БП12-Г02-3807_orig.jpg,startswith,1,БП12-Г02-3807,Красноглиняная керамика,тарелка,0,часть не указана,1,фрагмент,0,0,0
БП12-Г02-3983,Тарелка,Тарелки фаянсовой с полихромной росписью края фр-т,фаянс,Д21 см,Фрагмент,Горизонт 2/ темная гумусированная супесь со щепой и кирпичной крошкой,,,data/raw/images/БП12-Г02-3983_orig.jpg,startswith,1,БП12-Г02-3983,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,0
БП12-Г02-4540,Блюдце,Блюдца фарфорового с росписью профиль,фарфор,Д14-9; высота 3 см,Фрагмент,Горизонт 2/ Темный гумусированный суглинок с щепой и органикой,,,data/raw/images/БП12-Г02-4540_orig.jpg,startswith,1,БП12-Г02-4540,Фарфор,блюдце,0,профиль,0,фрагмент,0,0,0
БП12-Г02-4758,Тарелка,Тарелки фаянсовой донца фр-т,фаянс,,Фрагмент,Горизонт 2/ Темная гумусированная супесь,,,data/raw/images/БП12-Г02-4758_orig.jpg,startswith,1,БП12-Г02-4758,Фаянс,тарелка,0,донце,0,фрагмент,0,0,0
БП12-Г02-5150,Крышка,Сосуда белоглиняного с коричневой поливой снаружи крышки ручка,керамика,"Д4,6 см",Фрагмент,Горизонт 2/ темная гумусированная супесь,,,data/raw/images/БП12-Г02-5150_orig.jpg,startswith,1,БП12-Г02-5150,Белоглиняная керамика,крышка,0,ручка,0,фрагмент,0,0,0
БП12-Г02-6877,Изразец,Изразец белоглиняный плоский с белой поливой фрагментированный,керамика,высота румпы 5 см,Фрагмент,Горизонт 2,,,data/raw/images/БП12-Г02-6877_orig.jpg,startswith,1,БП12-Г02-6877,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
БП12-Т01-8069,Тарелка,Тарелки фаянсовой донца с клеймом фр-т,фаянс,,Фрагмент,,,,data/raw/images/БП12-Т01-8069_orig.jpg,startswith,1,БП12-Т01-8069,Фаянс,тарелка,0,донце,0,фрагмент,0,0,0
Заг11-ш01-Г02-068,Изразец,Изразца (перемычка) красноглиняного с белой поливой и кобальтовой росписью фр-т,керамика,,Фрагмент,Гориз.2,ИИМК РАН,2011.0,data/raw/images/Заг11-ш01-Г02-068_orig.jpg,startswith,1,Заг11-ш01-Г02-068,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
КБ-2014-Р1-0222,Тарелка,"Тарелки фаянсовой с зеленой полосой по краю и гербом РСФСР (серп и молот. Колосья пшеницы, и лозунг""…ТАНИЕ ПУТЬ К социализму"" края фрагменты",фаянс,мелкие,Фрагмент,Техногенный слой/ гориз.1,ИИМК РАН,2014.0,data/raw/images/КБ-2014-Р1-0222_orig.jpg,startswith,1,КБ-2014-Р1-0222,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,0
КБ-2014-Р1-0320,Тарелка,Тарелки фаянсовой с голубым растительным рисунком края фрагмент,фаянс,D 27 см,Фрагмент,Мешанная коричневая супесь с включениями (слоистые подсыпки)/ гориз.1,ИИМК РАН,2014.0,data/raw/images/КБ-2014-Р1-0320_orig.jpg,startswith,1,КБ-2014-Р1-0320,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,0
КБ-2014-Р1-0426,Блюдце,"Блюдца фарфорового с растительным орнаментом и клеймом на дне ""Братьев …новьевых""",фарфор,D 14 см,Фрагмент,Мешанная коричневая супесь с включениями (слоистые подсыпки)/ гориз.1,ИИМК РАН,2014.0,data/raw/images/КБ-2014-Р1-0426_orig.jpg,startswith,1,КБ-2014-Р1-0426,Фарфор,блюдце,0,часть не указана,1,фрагмент,0,0,0
КБ-2014-Р1-0679,Блюдце,Блюдца фарфорового с сиреневым растительным рисунками  фрагмент,фарфор,D 15 см,Фрагмент,Мешанная коричневая супесь с включениями (слоистые подсыпки)/ гориз.1,ИИМК РАН,2014.0,data/raw/images/КБ-2014-Р1-0679_orig.jpg,startswith,1,КБ-2014-Р1-0679,Фарфор,блюдце,0,часть не указана,1,фрагмент,0,0,0
КБ-2014-Р1-0719,Блюдце,"Блюдца фарфорового рифленого внутри на дне двурядное клеймо ""Ф М САНАШОВА"" фрагмент",фарфор,"D 5,2 см",Фрагмент,Заполнение,ИИМК РАН,2014.0,data/raw/images/КБ-2014-Р1-0719_orig.jpg,startswith,1,КБ-2014-Р1-0719,Фарфор,блюдце,0,донце,0,фрагмент,0,0,0
КБ-2014-Р1-1101,Тарелка,"Тарелки фаянсовой с клеймом на дне ""им.М.И.КАЛИНИНА  Н.К.М.П. Р.С.Ф.С.Р. Дна фрагмент",фаянс,"D 11,5 см",Фрагмент,,ИИМК РАН,2014.0,data/raw/images/КБ-2014-Р1-1101_orig.jpg,startswith,1,КБ-2014-Р1-1101,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,0
КБ-2014-Р1-1299,Тарелка,"Тарелки фарфоровой с клеймом на дне ""…LLEROY…CH"" и вдавленная ""3"" фрагмент",фарфор,D 23 см,Фрагмент,Под уровнем известняка,ИИМК РАН,2014.0,data/raw/images/КБ-2014-Р1-1299_orig.jpg,startswith,1,КБ-2014-Р1-1299,Фарфор,тарелка,0,часть не указана,1,фрагмент,0,0,0
КБ-2014-Р1-1304,Блюдце,"Блюдца фарфорового с зеленой каймой по краю и клеймом на дне ""…КРАСНЫЙ ФАРФОРИСТ г. ЧУДОВО"" фрагмент",фарфор,D 14 см,Фрагмент,Заполнение помещения,ИИМК РАН,2014.0,data/raw/images/КБ-2014-Р1-1304_orig.jpg,startswith,1,КБ-2014-Р1-1304,Фарфор,блюдце,0,часть не указана,1,фрагмент,0,0,0
КБ-2014-Р2-0088,Тарелка,Тарелка фаянсовая с рельефным краем и растительным декольным зеленым орнаментом профиль с клеймом на донце,фаянс,"Двен=16; Ддон=10; выс=1,5 см",Фрагмент,Слой 1/ гориз.1,ИИМК РАН,2014.0,data/raw/images/КБ-2014-Р2-0088_orig.jpg,startswith,1,КБ-2014-Р2-0088,Фаянс,тарелка,0,донце,0,фрагмент,0,0,0
КБ-2014-Р2-0133,Крышка,Чайника фарфорового с полихромным цветочным декольным орнаментом крышка,фарфор,"Д=4,5; выс=3 см",Целый,Слой 1/ гориз.1,ИИМК РАН,2014.0,data/raw/images/КБ-2014-Р2-0133_orig.jpg,startswith,1,КБ-2014-Р2-0133,Фарфор,крышка,0,часть не указана,1,целый,0,0,0
КБ-2014-Р2-0185,Крышка,Сосуда фаянсового с синей поливой снаружи и внутри со сквозными отверстиями крышки профиль,фаянс,Д=10; выс=2 см,Фрагмент,Слой 2/ гориз.2,ИИМК РАН,2014.0,data/raw/images/КБ-2014-Р2-0185_orig.jpg,startswith,1,КБ-2014-Р2-0185,Фаянс,крышка,0,профиль,0,фрагмент,0,0,0
КБ-2014-Р2-0189,Блюдце,Блюдца фарфорового с полихромным цветочным и рельефным орнаментом внутри профиль,фарфор,Двен=14; Ддон=8; выс=2 см,Фрагмент,Слой 2/ гориз.2,ИИМК РАН,2014.0,data/raw/images/КБ-2014-Р2-0189_orig.jpg,startswith,1,КБ-2014-Р2-0189,Фарфор,блюдце,0,профиль,0,фрагмент,0,0,0
КБ-2014-Р2-0337,Изразец,Изразец угловой карнизный светлоглиняный с белой поливой,керамика,"14 х 15 х 2; рум=5,5 см",Целый,Слой 2/ гориз.2,ИИМК РАН,2014.0,data/raw/images/КБ-2014-Р2-0337_orig.jpg,startswith,1,КБ-2014-Р2-0337,Керамика,изразец,0,часть не указана,1,целый,0,0,0
КБ-2014-Р2-0338,Изразец,Изразец карнизный светлоглиняный с белой поливой,керамика,"23,5 х 10 х 2; рум=5 см",Целый,Слой 2/ гориз.2,ИИМК РАН,2014.0,data/raw/images/КБ-2014-Р2-0338_orig.jpg,startswith,1,КБ-2014-Р2-0338,Керамика,изразец,0,часть не указана,1,целый,0,0,0
