code,name,description,material,size,fragm,cultlayer,execorg,survyear,image_file,match_rule,has_image,group_key,material_raw,type,type_is_missing,part,part_is_missing,integrity,integrity_is_missing,material_is_missing,label_is_uncertain,split
М102-2012-1-0837,Тарелка,Тарелки фаянсовой с белой поливой внутри и снаружи края фигурного фр-т,фаянс,D? см,Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,data/raw/images/М102-2012-1-0837_orig.jpg,startswith,1,М102-2012-1-0837,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,0,test
М102-2012-1-0843,Тарелка,Сосуда (тарелки ?) фаянсового с белой поливой внутри и снаружи края фр-т,фаянс,D? см,Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,data/raw/images/М102-2012-1-0843_orig.jpg,startswith,1,М102-2012-1-0843,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,1,train
М102-2012-1-0847,Тарелка,Тарелки фаянсовой с белой поливой внутри и снаружи края фигурного фр-т,фаянс,D? см,Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,data/raw/images/М102-2012-1-0847_orig.jpg,startswith,1,М102-2012-1-0847,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,0,test
М102-2012-1-0851,Тарелка,Тарелки фаянсовой с белой поливой внутри и снаружи края фигурного фр-т,фаянс,D ок20 см,Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,data/raw/images/М102-2012-1-0851_orig.jpg,startswith,1,М102-2012-1-0851,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,0,val
М102-2012-1-0942,Миска,Миски красноглиняной с белым ангобом внутри и снаружи профиль,керамика,"D26 (донце), D21 (венчик) см",Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,data/raw/images/М102-2012-1-0942_orig.jpg,startswith,1,М102-2012-1-0942,Керамика,миска,0,профиль,0,фрагмент,0,0,0,train
М102-2012-1-0949,Изразец,Изразца красноглиняного плоского с белой поливой и голубой росписью фр-т,керамика,"10+ х 9+ х 1,5; выс румпы=4,5 см",Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,data/raw/images/М102-2012-1-0949_orig.jpg,startswith,1,М102-2012-1-0949,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0,train
М102-2012-1-1008,Изразец,"Изразца красноглиняного с белой поливой, растительным орнаментом и монохромной растительной росписью фр-т",керамика,"10,7+ х 6,4+ х 6+ см",Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,data/raw/images/М102-2012-1-1008_orig.jpg,startswith,1,М102-2012-1-1008,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0,val
М102-2012-2-0538,Блюдце,Блюдца (?) фарфорового с полихромной растительной росписью и золотой окантовкой края фр-т,фарфор,D15 см,Фрагмент,Дерн,ИИМК РАН,2012.0,data/raw/images/М102-2012-2-0538_orig.jpg,startswith,1,М102-2012-2-0538,Фарфор,блюдце,0,часть не указана,1,фрагмент,0,0,1,train
М102-2012-2-0543,Блюдце,Блюдца фарфорового с белой поливой снаружи и внутри с зеленой растительной росписью в технике деколь профиля фр-т,фарфор,"D8 (донце), D15 (край) см",Фрагмент,Дерн,ИИМК РАН,2012.0,data/raw/images/М102-2012-2-0543_orig.jpg,startswith,1,М102-2012-2-0543,Фарфор,блюдце,0,профиль,0,фрагмент,0,0,0,train
М102-2012-2-1028,Тарелка,Тарелки фаянсовой с белой поливой снаружи и внутри с полихромной растительной росписью профиль,фаянс,D24 см,Фрагмент,Битый кирпич,ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1028_orig.jpg,startswith,1,М102-2012-2-1028,Фаянс,тарелка,0,профиль,0,фрагмент,0,0,0,test
М102-2012-2-1068,Плитка,Плитки напольной из каменной массы (?) с белой поливой края фр-т,прочее,"10,5+ х 6,5+ х 1 см",Фрагмент,Битый кирпич,ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1068_orig.jpg,startswith,1,М102-2012-2-1068,Каменная масса,прочее,1,часть не указана,1,фрагмент,0,1,1,train
М102-2012-2-1086,Тарелка,Тарелки фаянсовой с белой поливой снаружи и внутри с полихромной растительной росписью донца фр-т,фаянс,D13 см,Фрагмент,"Желтый песок, подсыпка под мостовой 1",ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1086_orig.jpg,startswith,1,М102-2012-2-1086,Фаянс,тарелка,0,донце,0,фрагмент,0,0,0,train
М102-2012-2-1095,Изразец,Изразца(?) белоглиняного с белой поливой фр-т,керамика,"5+ х 5,5 х 2,5+ см",Фрагмент,Битый кирпич,ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1095_orig.jpg,startswith,1,М102-2012-2-1095,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,1,train
М102-2012-2-1121,Блюдце,Блюдца фарфорового с белой поливой снаружи и внутри края фр-т,фарфор,D15 см,Фрагмент,Слой под мостовой 2,ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1121_orig.jpg,startswith,1,М102-2012-2-1121,Фарфор,блюдце,0,часть не указана,1,фрагмент,0,0,0,train
М102-2012-2-1123,Блюдце,Блюдца фарфорового с белой поливой снаружи и зеленой внутри донца фр-т,фарфор,D9 см,Фрагмент,Слой под мостовой 2,ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1123_orig.jpg,startswith,1,М102-2012-2-1123,Фарфор,блюдце,0,донце,0,фрагмент,0,0,0,train
М102-2012-2-1125,Крышка,Сосуда фарфорового с белой поливой внутри и снаружи с золотой окантовкой снаружи крышки фр-т,фарфор,D5 см,Фрагмент,Слой под мостовой 2,ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1125_orig.jpg,startswith,1,М102-2012-2-1125,Фарфор,крышка,0,часть не указана,1,фрагмент,0,0,0,train
М102-2012-2-1166,Блюдце,Блюдца (?) фарфорового с белой поливой внутри и снаружи донца клейменого фр-т,фарфор,D9 см,Фрагмент,,ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1166_orig.jpg,startswith,1,М102-2012-2-1166,Фарфор,блюдце,0,донце,0,фрагмент,0,0,1,train
М102-2012-2-1181,Плитка,Плитки  желтоглиняной облицовочной с голубой поливой снаружи и клеймом на внутренней стороне фр-т,керамика,"12+ х 7,3+ х 1,1 см",Фрагмент,,ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1181_orig.jpg,startswith,1,М102-2012-2-1181,Керамика,прочее,1,часть не указана,1,фрагмент,0,0,0,val
М102-2012-2-1248,Блюдце,Блюдца фарфорового с белой поливой внутри и снаружи донца клейменого фр-т,фарфор,"4+ х 2,9+ х 0,4 см",Фрагмент,,ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1248_orig.jpg,startswith,1,М102-2012-2-1248,Фарфор,блюдце,0,донце,0,фрагмент,0,0,0,test
М102-2012-2-1264,Тарелка,Тарелки фаянсовой с белой поливой снаружи и кобальтовой геометрической росписью внутри края фр-т,фаянс,D26 см,Фрагмент,Слой под цементным полом (мусор XIX века),ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1264_orig.jpg,startswith,1,М102-2012-2-1264,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,0,train
М102-2012-2-1265,Тарелка,Тарелки фаянсовой с белой поливой снаружи и кобальтовой растительно-геометрической росписью внутри края фр-т,фаянс,D26 см,Фрагмент,Слой под цементным полом (мусор XIX века),ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1265_orig.jpg,startswith,1,М102-2012-2-1265,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,0,train
М102-2012-2-1267,Тарелка,Тарелки фаянсовой с белой поливой снаружи и кобальтовой растительно-геометрической росписью внутри края фр-т,фаянс,D26 см,Фрагмент,Слой под цементным полом (мусор XIX века),ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1267_orig.jpg,startswith,1,М102-2012-2-1267,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,0,train
М102-2012-2-1271,Блюдце,Блюдца фарфорового с белой поливой снаружи и внутри с рельефной поверхностью придонной части фр-т,фарфор,D8 см,Фрагмент,Слой под цементным полом (мусор XIX века),ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1271_orig.jpg,startswith,1,М102-2012-2-1271,Фарфор,блюдце,0,часть не указана,1,фрагмент,0,0,0,test
М102-2012-2-1279,Крышка,Сосуда прозрачного стекла крышки фр-т,стекло,"7,5+ х 5,9+ х 0,2 см",Фрагмент,Слой под цементным полом (мусор XIX века),ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1279_orig.jpg,startswith,1,М102-2012-2-1279,Стекло,крышка,0,часть не указана,1,фрагмент,0,0,0,test
М102-2012-2-1313,Блюдце,Блюдца фарфорового с золотой окантовкой снаружи донца клейменого фр-т,фарфор,D9 см,Фрагмент,,ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1313_orig.jpg,startswith,1,М102-2012-2-1313,Фарфор,блюдце,0,донце,0,фрагмент,0,0,0,test
М102-2012-2-1314,Крышка,Сосуда фарфорового с белой поливой внутри и снаружи с золотой окантовкой крышки фр-т,фарфор,D7 см,Фрагмент,,ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1314_orig.jpg,startswith,1,М102-2012-2-1314,Фарфор,крышка,0,часть не указана,1,фрагмент,0,0,0,train
М102-2012-2-1319,Тарелка,Тарелки фаянсовой с белой поливой снаружи и внутри края фр-т,фаянс,D25 см,Фрагмент,Слой под цементным полом (мусор XIX века),ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1319_orig.jpg,startswith,1,М102-2012-2-1319,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,0,train
М102-2012-2-1327,Плитка,Плитки белоглиняной облицовочной с белой поливой снаружи края фр-т,керамика,"7,8+ х 5,4+ х 1,1 см",Фрагмент,,ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1327_orig.jpg,startswith,1,М102-2012-2-1327,Керамика,прочее,1,часть не указана,1,фрагмент,0,0,0,train
М102-2012-2-1359,Блюдце,Сосуда (блюдца?) фаянсового с прозрачной поливой внутри и снаружи края фр-т,фаянс,D12 см,Фрагмент,Слой под цементным полом (мусор XIX века),ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1359_orig.jpg,startswith,1,М102-2012-2-1359,Фаянс,блюдце,0,часть не указана,1,фрагмент,0,0,1,train
М102-2012-2-1360,Тарелка,Тарелки фаянсовой с прозрачной поливой внутри и снаружи края волнистого фр-т,фаянс,D? см,Фрагмент,Слой под цементным полом (мусор XIX века),ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1360_orig.jpg,startswith,1,М102-2012-2-1360,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,0,train
М102-2012-2-1361,Блюдце,Блюдца фарфорового с белой поливой внутри и снаружи профиль,фарфор,"D14,5 см",Фрагмент,Слой под цементным полом (мусор XIX века),ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1361_orig.jpg,startswith,1,М102-2012-2-1361,Фарфор,блюдце,0,профиль,0,фрагмент,0,0,0,val
М102-2012-2-1394,Крышка,Сосуда фаянсового с полихромной растительно-геометрической росписью и следами позолоты крышка,фаянс,D9 см,Целый,,ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1394_orig.jpg,startswith,1,М102-2012-2-1394,Фаянс,крышка,0,часть не указана,1,целый,0,0,0,val
М102-2012-2-1406,Блюдце,Блюдца фаянсового профиля фр-т,фаянс,D8 см,Фрагмент,Яма с битым кирпичом,ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1406_orig.jpg,startswith,1,М102-2012-2-1406,Фаянс,блюдце,0,профиль,0,фрагмент,0,0,0,val
М102-2012-2-1423,Миска (?),Сосуда (миски ?) красноглиняного со следами желто-зеленой поливы внутри венчика фр-т,керамика,D24 см,Фрагмент,Светло-серая мешаная супесь,ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1423_orig.jpg,startswith,1,М102-2012-2-1423,Керамика,миска,0,венчик,0,фрагмент,0,0,1,test
Мич11-ш01-005,Плитка,Плитки керамической с белой поливой и кобальтовой росписью фр-т,керамика,,Фрагмент,Техноген,ИИМК РАН,2011.0,data/raw/images/Мич11-ш01-005_orig.jpg,startswith,1,Мич11-ш01-005,Керамика,прочее,1,часть не указана,1,фрагмент,0,0,0,train
Мич11-ш01-029,Изразец,Изразца красноглиняного с белой поливой и кобальтовой росписью фр-т,керамика,,Фрагмент,Сильногумусированная коричневая супесь с включениями битого кирпича,ИИМК РАН,2011.0,data/raw/images/Мич11-ш01-029_orig.jpg,startswith,1,Мич11-ш01-029,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0,train
Мич11-ш02-053,Изразец,Изразца красноглиняного с белой поливой и рельефным кобальтовым орнаментом фр-т,керамика,,Фрагмент,Техноген,ИИМК РАН,2011.0,data/raw/images/Мич11-ш02-053_orig.jpg,startswith,1,Мич11-ш02-053,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0,train
Мич11-ш02-057,Изразец,Изразца-перемычки красноглиняного с белой поливой и кобальтовой росписью  фр-т,керамика,,Фрагмент,Техноген,ИИМК РАН,2011.0,data/raw/images/Мич11-ш02-057_orig.jpg,startswith,1,Мич11-ш02-057,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0,train
Мич11-ш04-155,Изразец,Изразца красноглиняного с рельефным орнаментом фр-т,керамика,,Фрагмент,Техноген,ИИМК РАН,2011.0,data/raw/images/Мич11-ш04-155_orig.jpg,startswith,1,Мич11-ш04-155,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0,val
БП11-Р01-Г01-1247,Тарелка,Тарелки фаянсовой край,фаянс,Д23 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,data/raw/images/БП11-Р01-Г01-1247_orig.jpg,startswith,1,БП11-Р01-Г01-1247,Фаянс,тарелка,0,прочее,0,фрагмент,0,0,0,train
БП11-Р01-Г03-6493,Изразец,Изразец красноглиняный изогнутый с зеленой поливой фрагментированный,керамика,"18,5х9+х4,5+ см",Фрагмент,Горизонт 3/ щепа + гумус,,,data/raw/images/БП11-Р01-Г03-6493_orig.jpg,startswith,1,БП11-Р01-Г03-6493,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0,train
БП11-Р01-Г01-1290,Тарелка,Тарелки фаянсовой профиль,фаянс,Д26 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,data/raw/images/БП11-Р01-Г01-1290_orig.jpg,startswith,1,БП11-Р01-Г01-1290,Фаянс,тарелка,0,профиль,0,фрагмент,0,0,0,val
БП11-Р01-Г01-1395,Тарелка,Тарелки фаянсовой с клеймом профиль,фаянс,Д25-14 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,data/raw/images/БП11-Р01-Г01-1395_orig.jpg,startswith,1,БП11-Р01-Г01-1395,Фаянс,тарелка,0,профиль,0,фрагмент,0,0,0,train
БП11-Р01-тех-0069,Крышка,Сосуда фаянсового крышка,фаянс,"Д7,5 см",Целый,Горизонт техноген/ внутри дома,,,data/raw/images/БП11-Р01-тех-0069_orig.jpg,startswith,1,БП11-Р01-тех-0069,Фаянс,крышка,0,часть не указана,1,целый,0,0,0,test
БП11-Р01-тех-0468,Крышка,Крышки красноглиняной края фр-т,керамика,Д30 см,Фрагмент,Горизонт техноген,,,data/raw/images/БП11-Р01-тех-0468_orig.jpg,startswith,1,БП11-Р01-тех-0468,Керамика,крышка,0,часть не указана,1,фрагмент,0,0,0,train
БП11-Р01-Г01-1137,Крышка,Сосуда красноглиняного с коричневой поливой снаружи крышки фр-т,керамика,Д20 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,data/raw/images/БП11-Р01-Г01-1137_orig.jpg,startswith,1,БП11-Р01-Г01-1137,Керамика,крышка,0,часть не указана,1,фрагмент,0,0,0,train
БП11-Р01-тех-0061,Изразец,Изразца светлоглиняного орнаментированного с белой поливой и полихромной росписью фр-т,керамика,"11,5+х7,8+х 5 см",Фрагмент,Горизонт техноген/ внутри дома,,,data/raw/images/БП11-Р01-тех-0061_orig.jpg,startswith,1,БП11-Р01-тех-0061,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0,train
БП11-Р01-Г01-1065,Тарелка,Тарелки фаянсовой донца фр-т,фаянс,Д17 см,Фрагмент,Горизонт 1,,,data/raw/images/БП11-Р01-Г01-1065_orig.jpg,startswith,1,БП11-Р01-Г01-1065,Фаянс,тарелка,0,донце,0,фрагмент,0,0,0,train
БП11-Р01-Г01-1251,Тарелка,Тарелки фаянсовой с голубой поливой и полихромной росписью донца фр-т,фаянс,Д8 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,data/raw/images/БП11-Р01-Г01-1251_orig.jpg,startswith,1,БП11-Р01-Г01-1251,Фаянс,тарелка,0,донце,0,фрагмент,0,0,0,train
БП11-Р01-Г03-3339,Изразец,Изразца красноглиняного с белой поливой и кобальтовой росписью фр-т,керамика,,Фрагмент,Горизонт 3/ темно-коричневый гумусированный суглинок,,,data/raw/images/БП11-Р01-Г03-3339_orig.jpg,startswith,1,БП11-Р01-Г03-3339,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0,train
БП11-Р01-Г01-0944,Тарелка,Тарелки фаянсовой с кобальтовой росписью края фр-т,фаянс,Д24 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,data/raw/images/БП11-Р01-Г01-0944_orig.jpg,startswith,1,БП11-Р01-Г01-0944,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,0,train
БП11-Р01-Г03-3244,Тарелка,Тарелки красноглиняной со светло-желтой и коричневой поливой внутри и полихромной росписью поливой края фр-т,керамика,Д28 см,Фрагмент,Горизонт 3/ темно-коричневый гумусированный суглинок с включениями кирпичной крошки,,,data/raw/images/БП11-Р01-Г03-3244_orig.jpg,startswith,1,БП11-Р01-Г03-3244,Керамика,тарелка,0,часть не указана,1,фрагмент,0,0,0,train
БП11-Р01-тех-0443,Изразец,Изразца красноглиняного орнаментированного с белой поливой и желтой росписью фр-т,керамика,,Фрагмент,Горизонт техноген,,,data/raw/images/БП11-Р01-тех-0443_orig.jpg,startswith,1,БП11-Р01-тех-0443,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0,train
БП11-Р01-Г01-1315,Тарелка,Тарелки фаянсовой профиль,фаянс,Д24-15 см,Фрагмент,Горизонт 2/ голубая мешанная глина,,,data/raw/images/БП11-Р01-Г01-1315_orig.jpg,startswith,1,БП11-Р01-Г01-1315,Фаянс,тарелка,0,профиль,0,фрагмент,0,0,0,train
БП11-Р01-Г01-1055,Изразец,Изразец (карниз) красноглиняный с белой поливой фрагментированный,керамика,"17х11,5+х6 см",Целый,Горизонт 1,,,data/raw/images/БП11-Р01-Г01-1055_orig.jpg,startswith,1,БП11-Р01-Г01-1055,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0,train
БП11-Р01-Г01-1397,Тарелка,Тарелки фаянсовой края фр-т,фаянс,Д33 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,data/raw/images/БП11-Р01-Г01-1397_orig.jpg,startswith,1,БП11-Р01-Г01-1397,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,0,train
БП11-Р01-тех-0381,Тарелка,Тарелки красноглиняной с коричневой поливой снаружи и зеленой поливой внутри с рельефным орнаментом края фр-т,керамика,,Фрагмент,Горизонт техноген,,,data/raw/images/БП11-Р01-тех-0381_orig.jpg,startswith,1,БП11-Р01-тех-0381,Керамика,тарелка,0,часть не указана,1,фрагмент,0,0,0,val
БП11-Р01-тех-0421,Тарелка,Тарелки красноглиняной с росписью профиль,керамика,Д25 см,Фрагмент,Горизонт техноген,,,data/raw/images/БП11-Р01-тех-0421_orig.jpg,startswith,1,БП11-Р01-тех-0421,Керамика,тарелка,0,профиль,0,фрагмент,0,0,0,train
БП11-Р01-Г01-1405,Тарелка,Тарелки фаянсовой с зеленой росписью края фр-т,фаянс,Д16 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,data/raw/images/БП11-Р01-Г01-1405_orig.jpg,startswith,1,БП11-Р01-Г01-1405,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,0,train
БП11-Р01-Г01-1192,Изразец,Изразца углового красноглиняного с белой поливой фр-т,керамика,,Фрагмент,Горизонт 1/ серо-желтая мешаная супесь,,,data/raw/images/БП11-Р01-Г01-1192_orig.jpg,startswith,1,БП11-Р01-Г01-1192,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0,train
БП11-Р01-Г01-1197,Крышка,Крышка белого металла на бутылку с изображением герба фрагментированная,прочее,"Д3, толщина 0,1 см",Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок с кирпичной крошкой,,,data/raw/images/БП11-Р01-Г01-1197_orig.jpg,startswith,1,БП11-Р01-Г01-1197,Белый металл,крышка,0,часть не указана,1,фрагмент,0,1,0,train
БП11-Р01-Г01-1396,Тарелка,Тарелки фаянсовой края фр-т,фаянс,Д25 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,data/raw/images/БП11-Р01-Г01-1396_orig.jpg,startswith,1,БП11-Р01-Г01-1396,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,0,train
БП11-Р01-Г01-1248,Тарелка,Тарелки фаянсовой с клеймом донце,фаянс,Д11 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,data/raw/images/БП11-Р01-Г01-1248_orig.jpg,startswith,1,БП11-Р01-Г01-1248,Фаянс,тарелка,0,донце,0,фрагмент,0,0,0,train
БП11-Р01-тех-0060,Изразец,Изразца (карниз) красноглиняного с белой поливой фр-т,керамика,"16,8+х12х8,3 см",Фрагмент,Горизонт техноген/ внутри дома,,,data/raw/images/БП11-Р01-тех-0060_orig.jpg,startswith,1,БП11-Р01-тех-0060,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0,train
БП11-Р01-Г01-1289,Тарелка,Тарелки фаянсовой с красной росписью профиль,фаянс,Д15-12 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,data/raw/images/БП11-Р01-Г01-1289_orig.jpg,startswith,1,БП11-Р01-Г01-1289,Фаянс,тарелка,0,профиль,0,фрагмент,0,0,0,train
БП11-Р01-Г03-6484,Блюдце,Блюдца фарфорового с клеймом профиль,фаянс,Д10-14 см,Фрагмент,Горизонт 3/ щепа + гумус,,,data/raw/images/БП11-Р01-Г03-6484_orig.jpg,startswith,1,БП11-Р01-Г03-6484,Фаянс,блюдце,0,профиль,0,фрагмент,0,0,0,train
БП11-Р01-тех-0394,Тарелка,Тарелки фаянсовой края фр-т,фаянс,Д30 см,Фрагмент,Горизонт техноген,,,data/raw/images/БП11-Р01-тех-0394_orig.jpg,startswith,1,БП11-Р01-тех-0394,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,0,train
БП11-Р01-Г03-6483,Блюдце,Блюдца фарфорового с кобальтовой росписью профиля фр-т,фарфор,"Д13,5 см",Фрагмент,Горизонт 3/ щепа + гумус,,,data/raw/images/БП11-Р01-Г03-6483_orig.jpg,startswith,1,БП11-Р01-Г03-6483,Фарфор,блюдце,0,профиль,0,фрагмент,0,0,0,train
Кроп-2013-151,Блюдце,Блюдца фарфорового с декольным полихромным орнаментом внутри профиля фр-т,фарфор,Двен=16; Ддон=9 см,Фрагмент,,,2013.0,data/raw/images/Кроп-2013-151_orig.jpg,startswith,1,Кроп-2013-151,Фарфор,блюдце,0,профиль,0,фрагмент,0,0,0,train
Кроп-2013-152,Тарелка,Тарелки фарфоровой с полихромным рельефным пейзажным орнаментом внутри донца фр-т,фарфор,Д=16 см,Фрагмент,,,2013.0,data/raw/images/Кроп-2013-152_orig.jpg,startswith,1,Кроп-2013-152,Фарфор,тарелка,0,донце,0,фрагмент,0,0,0,train
